Linux 6.6.23 (eternity8) 	2025년 05월 29일 	_x86_64_	(40 CPU)

14시 40분 53초     CPU     %user     %nice   %system   %iowait    %steal     %idle
14시 40분 57초      11      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      12      0.00      0.00      0.99      0.00      0.00     99.01
14시 40분 57초      13      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      14      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      15      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      16      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      17      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      18      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      19      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      20      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      21      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      22      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      23      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      24      0.99      0.00      0.99      0.00      0.00     98.02
14시 40분 57초      25      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      26      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      27      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      28      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      29      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      30      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      31      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      32      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      33      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      34      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      35      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      36      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      37      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      38      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 57초      39      0.00      0.00      0.00      0.00      0.00    100.00

14시 40분 57초     CPU     %user     %nice   %system   %iowait    %steal     %idle
14시 40분 58초     all      0.00      0.00      0.05      0.00      0.00     99.95
14시 40분 58초       0      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초       1      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초       2      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초       3      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초       4      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초       5      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초       6      0.00      0.00      0.00      0.00      0.00    100.00
14시 40분 58초       7      0.00      0.00      0.00      0.00      0.00    100.00
